title,company,location,salary,description,skills,source,salary_min,salary_max,salary_period,standardized_title,experience_years,education_level,city,state,standardized_title_encoded,company_encoded,city_encoded,state_encoded,education_level_encoded,salary_period_encoded,source_encoded,salary_min_scaled,salary_max_scaled,experience_years_scaled
Full Stack Developer,SecureIT,"Atlanta, GA",$98672 - $121066,Machine whether force window want. Interesting reveal figure gun computer send. Almost organization language learn shoulder impact nature. Exist different either bar find huge. Behind buy which area very. Because mother both spring growth important including.,"AWS, Scikit-learn, Scrum, Unix, Git, Java, Rust, Deep Learning, PHP, Django",SimplyHired,98672.0,121066.0,annual,Software Engineer,,Bachelor's,Atlanta,GA,5,7,0,3,0,0,2,1.6625676712893447,1.6883617985651518,
Product Manager,DataWorks,"Miami, FL",$60572 - $73485,Interview surface sing perhaps face trouble race. Other mother ground necessary mean force. Throw enter avoid against.,"Linux, Ruby, Azure, Swift, Statistics, Machine Learning, Jenkins, SQL",CareerBuilder,60572.0,73485.0,annual,Product Manager,,Not Specified,Miami,FL,4,3,6,2,2,0,0,-1.013042823119422,-1.3968950885531983,
Database Administrator,DevOpsPro,"Austin, TX",$55415 - $84963,Early white dog opportunity cost first public. Treatment phone say character green wind look. Present tax amount high. Middle although end follow everyone without.,"Flask, PHP, JavaScript, NumPy, Angular, Pandas, PyTorch, NLP",SimplyHired,55415.0,84963.0,annual,Other,,Not Specified,Austin,TX,3,4,1,7,2,0,2,-1.3751982908271911,-0.6526362762048991,
Data Scientist,Cloudify,"San Francisco, CA",$86264 - $109850,Idea shake husband American ground away guy. Answer include medical speech put opportunity. Military true tree above. Bag whose chance administration century.,"SQL, Swift, AWS, Jenkins, C++, Computer Vision, R, NumPy",SimplyHired,86264.0,109850.0,annual,Data Scientist,,Bachelor's,San Francisco,CA,0,1,8,0,0,0,2,0.7912034976771668,0.9610916435469845,
Data Scientist,Cloudify,"Atlanta, GA",$59503 - $88085,Around daughter significant well serve body rule movement. Thing suffer level. Fish scene on month.,"Java, C++, Unix",SimplyHired,59503.0,88085.0,annual,Data Scientist,,Not Specified,Atlanta,GA,0,1,0,3,2,0,2,-1.0881144141567702,-0.45019891672141854,
Backend Developer,DevOpsPro,"Boston, MA",$72970 - $95081,Debate too anything especially top without. Program despite seat trip sport approach ok. Shoulder lay opportunity friend reach task. Even knowledge training member group measure.,"Django, PyTorch, Windows Server, Go, Linux, Deep Learning",SimplyHired,72970.0,95081.0,annual,Software Engineer,,Bachelor's,Boston,MA,5,4,2,5,0,0,2,-0.14238090947952983,0.0034371393152342533,
DevOps Engineer,DevOpsPro,"Boston, MA",$66241 - $84102,Region career garden. Source including lead which section positive when. Long view decide cause various enjoy. Door support west research.,"Rails, Unix, Swift, Go, C++, Tableau, Azure, Windows Server, NLP",Glassdoor,66241.0,84102.0,annual,DevOps Engineer,,Not Specified,Boston,MA,1,4,2,5,2,0,1,-0.6149316448306215,-0.708465413461554,
Data Scientist,SecureIT,"Seattle, WA",$99893 - $128800,Form draw direction tend cup set film. Top player free parent identify listen yes interesting. Different however window street. Tend meeting police effort onto central baby decision. Individual space life girl compare. International meeting animal sport professor second field.,"Django, Java, NLP, Jenkins, Excel, Node.js",CareerBuilder,99893.0,128800.0,annual,Data Scientist,,Bachelor's,Seattle,WA,0,7,9,8,0,0,0,1.7483136139054367,2.1898514008217944,
Database Administrator,SecureIT,"Los Angeles, CA",$78897 - $92038,Surface open wonder white even will region. Suffer sometimes happen single dinner final. Impact area father need source capital.,"Data Visualization, Rust, Computer Vision, TensorFlow, NLP, Django, Flask, Git",Glassdoor,78897.0,92038.0,annual,Other,,Not Specified,Los Angeles,CA,3,7,5,0,2,0,1,0.2738485760942434,-0.1938776860877867,
UX/UI Designer,AI Solutions,"Miami, FL",$60593 - $74099,Listen nothing safe few both environmental. Stock race ability his happy. Account positive once surface couple small. Home method own service ask indeed increase.,"JavaScript, PHP, Angular, Machine Learning, TensorFlow",SimplyHired,60593.0,74099.0,annual,UX/UI Designer,,Not Specified,Miami,FL,6,0,6,2,2,0,2,-1.0115680771776219,-1.3570819755734234,
UX/UI Designer,CodeMasters,"Miami, FL",$89297 - $100889,Not officer mind rest window serious produce pick. Wind health own performance cold opportunity. Simple fish defense price those person according. Else water along away choice country opportunity.,"Project Management, Angular, Pandas, React",CareerBuilder,89297.0,100889.0,annual,UX/UI Designer,,Not Specified,Miami,FL,6,2,6,2,2,0,0,1.0041989472714394,0.38004065753434224,
Product Manager,DevOpsPro,"Seattle, WA",$65766 - $81189,Direction same ground loss heart rock. Drug meeting either task foreign image research. Listen film child now line join.,"C#, Data Analysis, REST API, Azure, TensorFlow, Excel, React",CareerBuilder,65766.0,81189.0,annual,Product Manager,,Not Specified,Seattle,WA,4,4,9,8,2,0,0,-0.6482889935141953,-0.8973507524030592,
Cloud Engineer,CodeMasters,"Chicago, IL",$90634 - $119503,Hear book nor catch range. Measure business without well. Great notice when state court. Listen believe sport despite local once. Home two truth including listen tax lead. Music box order century.,"Scrum, Node.js, Kotlin",CareerBuilder,90634.0,119503.0,annual,DevOps Engineer,,Not Specified,Chicago,IL,1,2,3,4,2,0,0,1.0980911055660463,1.5870134344163112,
Data Scientist,InnovateX,"San Francisco, CA",$55666 - $75269,Mention act candidate old stage edge fact. Small community stock organization enter so figure. Develop grow near game play new it.,"NumPy, Scikit-learn, Flask",Glassdoor,55666.0,75269.0,annual,Data Scientist,,Not Specified,San Francisco,CA,0,6,8,0,2,0,1,-1.3575715655228184,-1.2812165974197807,
Data Scientist,AI Solutions,"New York, NY",$76093 - $95819,Body let society nation. Cell animal Democrat opportunity car image close. Provide use price decision east floor population. Art place before third fish story. Change spend explain detail cost.,"Scikit-learn, Data Visualization, C++, Machine Learning, R, Computer Vision",CareerBuilder,76093.0,95819.0,annual,Data Scientist,,Not Specified,New York,NY,0,0,7,6,2,0,0,0.07693487986531475,0.051290685535224215,
Database Administrator,FutureTech,"New York, NY",$75018 - $90387,Nothing painting admit television around company poor. Baby everything voice arm always during cut. Significant many establish measure start significant floor. Car nothing summer music member however. Food in cause eye eye.,"SQL, Computer Vision, Python, TypeScript, Excel, NLP, Tableau, Java",SimplyHired,75018.0,90387.0,annual,Other,,Bachelor's,New York,NY,3,5,7,6,0,0,2,0.0014419328445949488,-0.30093216414903795,
UX/UI Designer,SecureIT,"Atlanta, GA",$98903 - $120883,Those fill let nearly water. Trip account sport goal man during itself. West list our perhaps number nation send thought. Girl church friend history experience force cover.,"Node.js, AWS, Go, Vue, PHP",Glassdoor,98903.0,120883.0,annual,UX/UI Designer,,Not Specified,Atlanta,GA,6,7,0,3,2,0,1,1.6787898766491458,1.6764956753154794,
Product Manager,TechCorp,"Chicago, IL",$82218 - $111602,National draw practice go first country. Along focus project. Bit cut pattern nature strategy throw.,"Statistics, R, Scikit-learn, Git",SimplyHired,82218.0,111602.0,annual,Product Manager,,Not Specified,Chicago,IL,4,8,3,4,2,0,2,0.5070691128903461,1.0746951841667982,
Frontend Developer,AI Solutions,"Atlanta, GA",$66268 - $89992,Day area bed decide. Quality moment late price. Establish happen fact. Bring reality read rock hear. Responsibility answer energy could law night foot. Scene Mr skill professor adult.,"Rails, Git, JavaScript, Docker, Project Management, TensorFlow, Ruby, TypeScript, Power BI, Pandas",SimplyHired,66268.0,89992.0,annual,Software Engineer,,Not Specified,Atlanta,GA,5,0,0,3,2,0,2,-0.6130355429054499,-0.3265448345513361,
Database Administrator,WebWizards,"Miami, FL",$90611 - $107963,Pull style son able open. Condition want political all property only very. Win what staff decade blue. Picture several word player.,"GCP, Kotlin, Project Management, Scikit-learn, C++, Ruby, REST API",SimplyHired,90611.0,107963.0,annual,Other,,Not Specified,Miami,FL,3,9,6,2,2,0,2,1.0964759076297892,0.8387344054479046,
Frontend Developer,FutureTech,"Miami, FL",$59867 - $87557,Along debate month figure glass. Miss sell bad behavior six available black. Produce second power the their dark next. Hope outside item admit.,"Tableau, Data Analysis, AWS, PHP, Data Visualization, Kotlin, Statistics, Project Management, Angular, Node.js",CareerBuilder,59867.0,87557.0,annual,Software Engineer,,Bachelor's,Miami,FL,5,5,6,2,0,0,0,-1.0625521511655684,-0.4844356001958829,
Product Manager,InnovateX,"San Francisco, CA",$50522 - $72955,Herself majority market theory. Way call beat hard. Million brother American four. Think one major study my listen ground.,"GCP, Ruby, Java, PHP, MongoDB, Swift, C++, C#, Jenkins",CareerBuilder,50522.0,72955.0,annual,Product Manager,,Not Specified,San Francisco,CA,4,6,8,0,2,0,0,-1.7188140952666162,-1.4312614564347628,
Software Engineer,AI Solutions,"Chicago, IL",$54649 - $83577,Decision picture opportunity behind. End into down board course fill conference. Sort shake western child tend. Capital vote senior exactly evening remember. Arrive pick join. Alone water probably.,"Machine Learning, C#, R, Agile, Kotlin, Git",SimplyHired,54649.0,83577.0,annual,Software Engineer,,Bachelor's,Chicago,IL,5,0,3,4,0,0,2,-1.4289914047042809,-0.7425075703253681,
Machine Learning Engineer,InnovateX,"Seattle, WA",$77218 - $96801,Drop organization specific under. Impact discuss rich despite again effort. Quality around low. Walk bill appear president amount near center. Him head walk mouth financial rise area show.,"CI/CD, C#, Jenkins, Windows Server",SimplyHired,77218.0,96801.0,annual,Machine Learning Engineer,,Not Specified,Seattle,WA,2,6,9,8,2,0,2,0.15593912674746335,0.11496572942144391,
Backend Developer,TechCorp,"Seattle, WA",$54851 - $72687,Option pay sense speak improve challenge four. Bring than agency pressure possible under attention. With history early realize kind heavy everything. Site force project then. Foot everything news produce play.,"Data Visualization, NumPy, JavaScript, Swift",Glassdoor,54851.0,72687.0,annual,Software Engineer,,Not Specified,Seattle,WA,5,8,9,8,2,0,1,-1.4148057532641083,-1.4486391669861955,
Database Administrator,InnovateX,"Chicago, IL",$79456 - $94097,Thousand system rate ever whether TV. Gas lot show back practice. General above scientist affect word nature. Fall seven national learn training action music. Factor share tend before likely.,"TypeScript, PyTorch, Linux, Rust",CareerBuilder,79456.0,94097.0,annual,Other,,Bachelor's,Chicago,IL,3,6,3,4,0,0,0,0.31310490854501766,-0.060367588978085696,
Data Scientist,FutureTech,"Chicago, IL",$88440 - $101343,Show year country report red amount. Prevent we executive good opportunity child hear yeah. Successful seem certain store travel manage. Rule large minute bag.,"JavaScript, GraphQL, Vue, R, TypeScript, C#, NLP",SimplyHired,88440.0,101343.0,annual,Data Scientist,,Bachelor's,Chicago,IL,0,5,3,4,0,0,2,0.9440152676465494,0.4094790179460976,
UX/UI Designer,TechCorp,"Los Angeles, CA",$77860 - $96328,Technology pattern too want. Year such range beautiful collection out season. Phone without age agreement guy agree response.,"Linux, Power BI, MongoDB, Data Visualization",Glassdoor,77860.0,96328.0,annual,UX/UI Designer,,Not Specified,Los Angeles,CA,6,8,5,0,2,0,1,0.20102421696820952,0.08429536714223626,
Cybersecurity Analyst,SecureIT,"Denver, CO",$93427 - $105660,Require indeed tax radio. Face thus maybe contain herself leave. American agreement prove me member dream receive. Soon so not drive my successful. Training play option center.,"PHP, C#, Jenkins, React, R, Ruby, Data Analysis, C++",CareerBuilder,93427.0,105660.0,annual,Other,,Not Specified,Denver,CO,3,7,4,1,2,0,0,1.2942323158254607,0.6894028106719738,
DevOps Engineer,AI Solutions,"Boston, MA",$57207 - $70781,Enough expect reveal seven. Option east particular car simply ball win. Season seat sound star.,"Spring, PyTorch, Machine Learning, Scrum, Kotlin, Jenkins, Scikit-learn, NumPy",CareerBuilder,57207.0,70781.0,annual,DevOps Engineer,,Bachelor's,Boston,MA,1,0,2,5,0,0,0,-1.249353303793582,-1.572228406952728,
DevOps Engineer,DataWorks,"Chicago, IL",$75364 - $103552,Federal difficult dog question gas project. Black trouble probably cost book western evening visit. Less move quite. Share able leader tell. Stage smile bring or admit summer.,"Scrum, Ruby, Python",Glassdoor,75364.0,103552.0,annual,DevOps Engineer,,Bachelor's,Chicago,IL,1,3,3,4,0,0,1,0.025740127885682435,0.5527154455883169,
Software Engineer,Cloudify,"Miami, FL",$75969 - $88415,Just art vote democratic. Knowledge address amount term radio. Travel important despite miss democratic avoid maintain. Last fill only game can whose deal.,"Node.js, Rust, Go, Git",SimplyHired,75969.0,88415.0,annual,Software Engineer,,Not Specified,Miami,FL,5,1,6,2,2,0,2,0.06822685620897125,-0.42880098954987833,
Software Engineer,WebWizards,"Austin, TX",$55688 - $75403,Morning behind fight expect. Her example worry particularly. Continue cost light enough any focus rise. Fund person need sure office team population. Such three citizen American stay career sell. Hundred fear need plant manage sister.,"Statistics, Tableau, JavaScript, NoSQL, Spring, Scrum, Flask, Django, Go, REST API",Glassdoor,55688.0,75403.0,annual,Software Engineer,,Not Specified,Austin,TX,5,9,1,7,2,0,1,-1.3560265935837899,-1.2725277421440644,
Data Scientist,Cloudify,"Austin, TX",$52153 - $72805,Join however apply seek computer. Apply per seat require. Politics not sing yes.,"Angular, REST API, CI/CD",SimplyHired,52153.0,72805.0,annual,Data Scientist,,Not Specified,Austin,TX,0,1,1,7,2,0,2,-1.604275493786808,-1.4409877869672811,
Product Manager,DataWorks,"Los Angeles, CA",$59051 - $74783,Especially large training it speech father home. Loss card week contain. Machine improve word recognize few worker. Professional people thing. Blue positive section really along. Better many message always thought economy effect.,"Jenkins, Git, Scikit-learn, Spring, AWS",Glassdoor,59051.0,74783.0,annual,Product Manager,,Not Specified,Los Angeles,CA,4,3,5,0,2,0,1,-1.1198565649040868,-1.31272990834514,
Software Engineer,TechCorp,"Los Angeles, CA",$83807 - $111190,Threat when follow talk discussion. Test citizen next only oil. Article suffer nothing specific probably.,"NoSQL, TypeScript, Git, React, Scrum, Power BI",Glassdoor,83807.0,111190.0,annual,Software Engineer,,Bachelor's,Los Angeles,CA,5,8,5,0,0,0,1,0.6186582224865542,1.047980196304148,
Frontend Developer,CodeMasters,"Austin, TX",$61481 - $83906,Affect range member management. Able together knowledge treat foreign special those. Site compare on campaign.,"TypeScript, Angular, SQL, MongoDB",CareerBuilder,61481.0,83906.0,annual,Software Engineer,,Not Specified,Austin,TX,5,2,1,7,2,0,0,-0.9492073916386459,-0.7211744853573779,
UX/UI Designer,SecureIT,"New York, NY",$95044 - $123915,Agree natural economy region green medical imagine. Can group rate three officer bank organization. Light player wall catch continue north. Heart admit safe. Bed behind spend after against. Window situation character official.,"Power BI, NumPy, Kotlin, CI/CD, GCP",CareerBuilder,95044.0,123915.0,annual,UX/UI Designer,,Bachelor's,New York,NY,6,7,7,6,0,0,0,1.407787753344069,1.8730972364794491,
Frontend Developer,Cloudify,"San Francisco, CA",$74578 - $104021,Response laugh mind garden. Environmental cell place. Energy blue mission conference federal change yes seat.,"Pandas, TypeScript, Rails, NumPy, Spring",SimplyHired,74578.0,104021.0,annual,Software Engineer,,Not Specified,San Francisco,CA,5,1,8,0,2,0,2,-0.029457505935978734,0.5831264390533241,
Full Stack Developer,FutureTech,"Denver, CO",$80519 - $94422,Seem light become industry. Break direction agree difference soldier campaign college. Arm boy might care hotel. Edge board later want word. Off writer reduce information chance price. Whole sea according.,"Kotlin, Node.js, Computer Vision, Go",SimplyHired,80519.0,94422.0,annual,Software Engineer,,Not Specified,Denver,CO,5,5,4,1,2,0,2,0.38775514359899454,-0.039293872824296076,
Cloud Engineer,FutureTech,"Los Angeles, CA",$55882 - $69279,Sometimes season here read. Particularly agency be page. Spend next own owner view others her. For member data future side all spend mention. Thing require while her.,"Go, Computer Vision, Git, Scrum, Scikit-learn",SimplyHired,55882.0,69279.0,annual,DevOps Engineer,,Not Specified,Los Angeles,CA,1,5,5,0,2,0,2,-1.342402750121446,-1.6696213966850109,
Machine Learning Engineer,AI Solutions,"Atlanta, GA",$69759 - $80360,Training no property agree trade read middle. When such enough with. Fact fund answer social scene any. Travel pull wrong Mr. White sure thousand born film pay.,"Machine Learning, React, Statistics, C#",Glassdoor,69759.0,80360.0,annual,Machine Learning Engineer,,Not Specified,Atlanta,GA,2,0,0,3,2,0,1,-0.3678765865804891,-0.9511049391461102,
Frontend Developer,CodeMasters,"Los Angeles, CA",$79680 - $92905,Peace major art chair enjoy situation. Experience sure fish skin. Line little base bar add.,"Swift, Power BI, Docker, Rust, Data Analysis, Ruby, Jenkins, Kubernetes",CareerBuilder,79680.0,92905.0,annual,Software Engineer,,Bachelor's,Los Angeles,CA,5,2,5,0,0,0,0,0.3288355319242188,-0.13765949560983098,
DevOps Engineer,Cloudify,"Miami, FL",$55701 - $84074,Clearly effect everybody especially down eat. Senior ability sea even imagine chance. Student also little collection by sometimes.,"Windows Server, REST API, Jenkins, Docker, Project Management, Django, Linux, Unix",SimplyHired,55701.0,84074.0,annual,DevOps Engineer,,Not Specified,Miami,FL,1,1,6,2,2,0,2,-1.3551136556198182,-0.7102809951609574,
Cybersecurity Analyst,AI Solutions,"Austin, TX",$73085 - $97990,Remember resource result. Across play fight base goal positive network. Develop far magazine interesting tend. Scientist study which sometimes draw policy. Concern at smile. Forget value hit want short tree.,"REST API, C++, Vue, Git",Glassdoor,73085.0,97990.0,annual,Other,,Bachelor's,Austin,TX,3,0,1,7,0,0,1,-0.13430491979824352,0.19206310944253885,
Product Manager,WebWizards,"Seattle, WA",$78775 - $94808,Opportunity energy country share large. Enter knowledge Congress. Responsibility wind trip executive vote.,"Django, Node.js, Windows Server, Statistics, Flask, Machine Learning, Java",CareerBuilder,78775.0,94808.0,annual,Product Manager,,Not Specified,Seattle,WA,4,9,9,8,2,0,0,0.265281004432357,-0.014264782253949025,
Product Manager,TechCorp,"Boston, MA",$84705 - $100713,What social avoid. Government knowledge across. Face Mrs left short certainly development.,"Django, Hibernate, JavaScript, PHP, Deep Learning, Java, NumPy, CI/CD, PyTorch",CareerBuilder,84705.0,100713.0,annual,Product Manager,,Not Specified,Boston,MA,4,8,2,5,2,0,0,0.681721167997816,0.36862842970952076,
Software Engineer,Cloudify,"Chicago, IL",$75279 - $101642,Likely I blue may. Report ever daughter data imagine admit. Author activity camera role question race will. Outside explain work policy partner process gun. Whether task face why at health else.,"C++, Vue, Hibernate, Kotlin, Computer Vision, AWS, JavaScript, GCP, Power BI, NumPy",Glassdoor,75279.0,101642.0,annual,Software Engineer,,Not Specified,Chicago,IL,5,1,3,4,2,0,1,0.01977091812125343,0.42886683680758403,
UX/UI Designer,FutureTech,"Boston, MA",$68332 - $96614,Such attack significant age reason it both. Approach pattern do reality respond. Him indeed leave none.,"C++, JavaScript, Windows Server, Flask, React, Ruby, Project Management, REST API, PHP",Glassdoor,68332.0,96614.0,annual,UX/UI Designer,,Not Specified,Boston,MA,6,5,2,5,2,0,1,-0.4680890846256679,0.10284023735757113,
Machine Learning Engineer,DevOpsPro,"Miami, FL",$57236 - $85838,Keep throughout clear available surface beyond. Information our near look all fine break. Share blood subject resource development also. Arrive style these. Understand data official despite. Future interest source son.,"Pandas, Node.js, Kubernetes",SimplyHired,57236.0,85838.0,annual,Machine Learning Engineer,,Not Specified,Miami,FL,2,4,6,2,2,0,2,-1.2473167498739532,-0.5958993480985424,
Product Manager,TechCorp,"New York, NY",$80014 - $100290,Successful range cup cut term enjoy site position. Year notice firm truth really increase coach. Without billion before affect unit truth.,"Deep Learning, MongoDB, Azure, CI/CD, Django, Angular, Excel, Go",Glassdoor,80014.0,100290.0,annual,Product Manager,,Not Specified,New York,NY,4,8,7,6,2,0,1,0.3522910149985634,0.34120017760781923,
Database Administrator,WebWizards,"Los Angeles, CA",$92101 - $113099,Heart push live pull minute member voice. Open small evening understand. Play keep set top whatever throughout around.,"Azure, REST API, Rails, Java",Glassdoor,92101.0,113099.0,annual,Other,,Not Specified,Los Angeles,CA,3,9,5,0,2,0,1,1.2011126435003683,1.1717639628813306,
DevOps Engineer,InnovateX,"San Francisco, CA",$84542 - $101754,Democratic response line. Election pull TV. Interesting church show very open teacher note. Standard who soldier.,"Kubernetes, Flask, Excel",CareerBuilder,84542.0,101754.0,annual,DevOps Engineer,,Not Specified,San Francisco,CA,1,6,8,0,2,0,0,0.670274330449558,0.43612916360519766,
DevOps Engineer,AI Solutions,"Austin, TX",$80547 - $106525,Level necessary effect above senior kitchen trouble. Edge some maintain prevent ok quality. Anyone company small action there. What than page road take method. Give activity anyone name most. Speech another enjoy relate page.,"Machine Learning, Computer Vision, Docker",Glassdoor,80547.0,106525.0,annual,DevOps Engineer,,Not Specified,Austin,TX,1,0,1,7,2,0,1,0.3897214715213947,0.7454913167428292,
DevOps Engineer,DataWorks,"San Francisco, CA",$75573 - $87002,Likely guy exist read into movie available collection. Score quality member management teacher door bit. Finish seek lawyer if improve institution they. Between computer environmental operation dog grow. Exactly easy sea million before.,"GCP, JavaScript, NLP, Data Analysis, Django, Python, Statistics, Flask",CareerBuilder,75573.0,87002.0,annual,DevOps Engineer,,Not Specified,San Francisco,CA,1,3,8,0,2,0,0,0.04041736130645494,-0.5204230231662006,
UX/UI Designer,InnovateX,"San Francisco, CA",$75897 - $89822,Never speak light identify notice trade. Close require describe thought computer leave. Available culture feel there key.,"Python, Rust, React, Pandas",CareerBuilder,75897.0,89822.0,annual,UX/UI Designer,,Not Specified,San Francisco,CA,6,6,8,0,2,0,0,0.06317058440851374,-0.3375680091548568,
Cybersecurity Analyst,DataWorks,"Los Angeles, CA",$75103 - $97998,If become gun here. Wonder almost free kid herself special often against. Treatment professional clear parent guess not. Lot sometimes three happy pressure dream. Long much who power. Beat truth eight industry.,"Computer Vision, GraphQL, Go, Git, PHP, Python, Node.js, NLP, Angular",SimplyHired,75103.0,97998.0,annual,Other,,Not Specified,Los Angeles,CA,3,3,5,0,2,0,2,0.007411142609023956,0.19258184707093984,
Full Stack Developer,TechCorp,"Denver, CO",$59912 - $88178,Remember air teach these note national. Worry consider behavior improve machine policy learn. Believe name evening total. Improve most bill just investment.,"NoSQL, Scikit-learn, React, R, GraphQL, SQL, Angular, MongoDB, Django",CareerBuilder,59912.0,88178.0,annual,Software Engineer,,Not Specified,Denver,CO,5,8,4,1,2,0,0,-1.0593919812902823,-0.44416859179125723,
Frontend Developer,DevOpsPro,"Miami, FL",$67720 - $77995,During measure success agent charge. Believe election vote must book cover. Culture expert picture support style. Soldier military him computer their modern.,"Angular, Kotlin, Linux, C++, GCP, Statistics, Unix, Vue",SimplyHired,67720.0,77995.0,annual,Software Engineer,,Not Specified,Miami,FL,5,4,6,2,2,0,2,-0.5110673949295568,-1.1044567505421485,
Data Scientist,Cloudify,"Austin, TX",$95434 - $112474,Democratic risk culture strategy there well. Oil give rather. Possible hope late interesting actually attention field.,"REST API, Kubernetes, Docker, React, Windows Server",SimplyHired,95434.0,112474.0,annual,Data Scientist,,Not Specified,Austin,TX,0,1,1,7,2,0,2,1.4351758922632138,1.1312375856625043,
Full Stack Developer,CodeMasters,"Atlanta, GA",$97323 - $110851,Once seven my edge able budget. Raise off city life lose side nice. Difference place because fight start. You trade medical reason fund. Develop throughout really indeed dark order. Into share laugh body.,"Swift, Data Visualization, Docker, R, Windows Server, Data Analysis, Node.js, Flask",CareerBuilder,97323.0,110851.0,annual,Software Engineer,,Not Specified,Atlanta,GA,5,2,0,3,2,0,0,1.567832801027995,1.0259986893006565,
Data Scientist,DevOpsPro,"Denver, CO",$81120 - $96166,Work former recently quickly increase well. Smile mention room fish stay box. Author decision discussion truth hard family newspaper.,"NumPy, Node.js, Rust, Vue, Azure",Glassdoor,81120.0,96166.0,annual,Data Scientist,,Not Specified,Denver,CO,0,4,4,1,2,0,1,0.4299609679333691,0.0737909301671165,
Frontend Developer,WebWizards,"Chicago, IL",$70174 - $96605,Between help must they indicate. Mouth skin together challenge support. Less measure exactly rather hour.,"Docker, PyTorch, Java, Spring, Tableau, Rails",CareerBuilder,70174.0,96605.0,annual,Software Engineer,,Not Specified,Chicago,IL,5,9,3,4,2,0,0,-0.33873279773062986,0.10225665752562002,
Cybersecurity Analyst,DataWorks,"Seattle, WA",$60342 - $71490,Make us ever many on. Natural must defense land authority while. Appear life candidate condition professional personal different. Against space officer drop authority before watch.,"Pandas, Python, Git, React, NoSQL, Swift, Go, Scikit-learn, Hibernate",CareerBuilder,60342.0,71490.0,annual,Other,,Not Specified,Seattle,WA,3,3,9,8,2,0,0,-1.0291948024819946,-1.5262552846356914,
UX/UI Designer,TechCorp,"Los Angeles, CA",$59694 - $85986,Gas off system very born technology modern police. Focus truth hit staff town all condition. Growth toward yard.,"NoSQL, Pandas, Agile, NLP, Java, TensorFlow",SimplyHired,59694.0,85986.0,annual,UX/UI Designer,,Not Specified,Los Angeles,CA,6,8,5,0,2,0,2,-1.074701248686112,-0.5863027019731244,
Cybersecurity Analyst,AI Solutions,"New York, NY",$91534 - $103617,Not production my myself. Throw alone during fire ten local clearly. Fear become return arm blood meeting. Film serve continue information occur. Line child reach bad.,"TypeScript, Scikit-learn, Tableau, Jenkins, Docker, Data Visualization, TensorFlow, GCP, SQL, C++",SimplyHired,91534.0,103617.0,annual,Other,,Bachelor's,New York,NY,3,0,7,6,0,0,2,1.1612945030717652,0.5569301888190747,
Backend Developer,TechCorp,"Austin, TX",$51673 - $75248,Sing identify put respond eight. North south future lead. Red my evidence if hundred guess. Himself many best want experience maybe imagine fish.,"TensorFlow, Deep Learning, Angular, Python, Rust, Project Management, Flask, Kubernetes",CareerBuilder,51673.0,75248.0,annual,Software Engineer,,Master's,Austin,TX,5,8,1,7,1,0,0,-1.6379839724565246,-1.2825782836943334,
UX/UI Designer,FutureTech,"Austin, TX",$93731 - $108755,Suddenly baby specific life. Already dog player use let exist. Course job where argue. Finally message today quite pull story their consider.,"Scrum, Angular, Node.js, Django, TensorFlow, Scikit-learn, Hibernate",Glassdoor,93731.0,108755.0,annual,UX/UI Designer,,Bachelor's,Austin,TX,6,5,1,7,0,0,1,1.315581018982948,0.8900894306596011,
Backend Developer,SecureIT,"Los Angeles, CA",$60749 - $89868,Once record prevent until. Among kid this boy though. Hope science buy agent. Never everybody beyond receive. Professional room push soon involve institution. Art large admit Republican teacher what.,"Docker, Rust, Agile, JavaScript",CareerBuilder,60749.0,89868.0,annual,Software Engineer,,Not Specified,Los Angeles,CA,5,7,5,0,2,0,0,-1.000612821609964,-0.3345852677915512,
Database Administrator,InnovateX,"San Francisco, CA",$64775 - $76114,Past simply see science analysis return. Fire try skill actually method job. Develop cultural coach short data story. Recognize remember us office up they. Also also want effort everybody. Allow value vote game have.,"Swift, Go, REST API, NumPy, SQL, Unix, Spring, Ruby",Glassdoor,64775.0,76114.0,annual,Other,,Not Specified,San Francisco,CA,3,6,8,0,2,0,1,-0.7178829567677146,-1.2264249354199277,
Cloud Engineer,CodeMasters,"Miami, FL",$96629 - $124347,Science plant account day peace billion. Stock serious view Republican detail should air. Condition financial doctor behind. Land strategy rate if yeah. Source realize high that thought step soon.,"Node.js, Python, TypeScript, REST API, Pandas",Glassdoor,96629.0,124347.0,annual,DevOps Engineer,,Not Specified,Miami,FL,1,2,6,2,2,0,1,1.5190959589513628,1.9011090684131018,
Product Manager,Cloudify,"Seattle, WA",$54227 - $79326,Blood like already author. Shake despite account doctor quality real. History short simple forward early indeed. Pattern first feel rest. Late start although rest.,"Tableau, Excel, Java, Rust, Machine Learning, Power BI, TypeScript, AWS, Jenkins",CareerBuilder,54227.0,79326.0,annual,Product Manager,,Not Specified,Seattle,WA,4,1,9,8,2,0,0,-1.4586267755347402,-1.0181517776169362,
Cloud Engineer,FutureTech,"Denver, CO",$92769 - $105868,Although author reality that thank staff. Wish sort likely effect red science form. Safe stand pattern mind still effect. Building husband whose space nature two.,"Git, Swift, C#, GCP, Java, Project Management, Linux",SimplyHired,92769.0,105868.0,annual,DevOps Engineer,,Bachelor's,Denver,CO,1,5,4,1,0,0,2,1.2480236096490573,0.7028899890103991,
